,num_rows,num_cols,missing_values_percent,avg_price,median_price,room_types
Entire home/apt,15123,79,,162.2086226277855,130.0,10353.0
Hotel room,15123,79,,162.2086226277855,130.0,50.0
Private room,15123,79,,162.2086226277855,130.0,4612.0
Shared room,15123,79,,162.2086226277855,130.0,108.0
calendar_updated,15123,79,1.0,162.2086226277855,130.0,
host_about,15123,79,0.35158368048667593,162.2086226277855,130.0,
host_location,15123,79,0.2259472326919262,162.2086226277855,130.0,
host_neighbourhood,15123,79,0.5569662104079879,162.2086226277855,130.0,
license,15123,79,0.2332870462209879,162.2086226277855,130.0,
neighborhood_overview,15123,79,0.531243800833168,162.2086226277855,130.0,
neighbourhood,15123,79,0.531243800833168,162.2086226277855,130.0,
review_scores_accuracy,15123,79,0.22475699266018648,162.2086226277855,130.0,
review_scores_checkin,15123,79,0.22475699266018648,162.2086226277855,130.0,
review_scores_cleanliness,15123,79,0.22475699266018648,162.2086226277855,130.0,
